t_rel,timestamp_utc,replicas_desejadas,replicas_atuais,replicas_prontas,cpu_atual_pct,cpu_alvo_pct,pods_pendentes
0,2026-08-25T00:19:56Z,1,1,1,1,50,0
7,2026-08-25T00:20:03Z,1,1,1,1,50,0
14,2026-08-25T00:20:10Z,1,1,1,1,50,0
21,2026-08-25T00:20:17Z,1,1,1,1,50,0
28,2026-08-25T00:20:24Z,1,1,1,1,50,0
35,2026-08-25T00:20:31Z,1,1,1,1,50,0
43,2026-08-25T00:20:39Z,1,1,1,1,50,0
50,2026-08-25T00:20:46Z,1,1,1,1,50,0
57,2026-08-25T00:20:53Z,1,1,1,1,50,0
64,2026-08-25T00:21:00Z,1,1,1,1,50,0
71,2026-08-25T00:21:07Z,5,1,1,314,50,0
78,2026-08-25T00:21:14Z,5,1,5,314,50,0
85,2026-08-25T00:21:21Z,10,5,5,500,50,0
92,2026-08-25T00:21:28Z,10,5,10,500,50,0
99,2026-08-25T00:21:35Z,10,5,10,500,50,0
106,2026-08-25T00:21:42Z,10,10,10,275,50,0
113,2026-08-25T00:21:49Z,10,10,10,275,50,0
120,2026-08-25T00:21:56Z,10,10,10,198,50,0
128,2026-08-25T00:22:04Z,10,10,10,198,50,0
135,2026-08-25T00:22:11Z,10,10,10,171,50,0
142,2026-08-25T00:22:18Z,10,10,10,171,50,0
149,2026-08-25T00:22:25Z,10,10,10,173,50,0
156,2026-08-25T00:22:32Z,10,10,10,173,50,0
163,2026-08-25T00:22:39Z,10,10,10,171,50,0
170,2026-08-25T00:22:46Z,10,10,10,171,50,0
177,2026-08-25T00:22:53Z,10,10,10,177,50,0
184,2026-08-25T00:23:00Z,10,10,10,177,50,0
191,2026-08-25T00:23:07Z,10,10,10,178,50,0
198,2026-08-25T00:23:14Z,10,10,10,178,50,0
205,2026-08-25T00:23:21Z,10,10,10,173,50,0
212,2026-08-25T00:23:28Z,10,10,10,173,50,0
220,2026-08-25T00:23:36Z,10,10,10,174,50,0
227,2026-08-25T00:23:43Z,10,10,10,174,50,0
234,2026-08-25T00:23:50Z,10,10,10,174,50,0
241,2026-08-25T00:23:57Z,10,10,10,176,50,0
248,2026-08-25T00:24:04Z,10,10,10,176,50,0
255,2026-08-25T00:24:11Z,10,10,10,173,50,0
262,2026-08-25T00:24:18Z,10,10,10,173,50,0
269,2026-08-25T00:24:25Z,10,10,10,175,50,0
276,2026-08-25T00:24:32Z,10,10,10,175,50,0
283,2026-08-25T00:24:39Z,10,10,10,177,50,0
290,2026-08-25T00:24:46Z,10,10,10,177,50,0
297,2026-08-25T00:24:53Z,10,10,10,174,50,0
304,2026-08-25T00:25:00Z,10,10,10,174,50,0
311,2026-08-25T00:25:07Z,10,10,10,176,50,0
318,2026-08-25T00:25:14Z,10,10,10,176,50,0
326,2026-08-25T00:25:22Z,10,10,10,176,50,0
333,2026-08-25T00:25:29Z,10,10,10,176,50,0
340,2026-08-25T00:25:36Z,10,10,10,176,50,0
347,2026-08-25T00:25:43Z,10,10,10,173,50,0
354,2026-08-25T00:25:50Z,10,10,10,173,50,0
361,2026-08-25T00:25:57Z,10,10,10,179,50,0
368,2026-08-25T00:26:04Z,10,10,10,179,50,0
375,2026-08-25T00:26:11Z,10,10,10,174,50,0
382,2026-08-25T00:26:18Z,10,10,10,174,50,0
389,2026-08-25T00:26:25Z,10,10,10,174,50,0
396,2026-08-25T00:26:32Z,10,10,10,174,50,0
403,2026-08-25T00:26:39Z,10,10,10,172,50,0
410,2026-08-25T00:26:46Z,10,10,10,172,50,0
417,2026-08-25T00:26:53Z,10,10,10,177,50,0
424,2026-08-25T00:27:00Z,10,10,10,177,50,0
431,2026-08-25T00:27:07Z,10,10,10,176,50,0
439,2026-08-25T00:27:15Z,10,10,10,176,50,0
446,2026-08-25T00:27:22Z,10,10,10,177,50,0
453,2026-08-25T00:27:29Z,10,10,10,177,50,0
460,2026-08-25T00:27:36Z,10,10,10,177,50,0
467,2026-08-25T00:27:43Z,10,10,10,177,50,0
474,2026-08-25T00:27:50Z,10,10,10,177,50,0
481,2026-08-25T00:27:57Z,10,10,10,175,50,0
488,2026-08-25T00:28:04Z,10,10,10,175,50,0
495,2026-08-25T00:28:11Z,10,10,10,179,50,0
502,2026-08-25T00:28:18Z,10,10,10,179,50,0
509,2026-08-25T00:28:25Z,10,10,10,179,50,0
516,2026-08-25T00:28:32Z,10,10,10,179,50,0
523,2026-08-25T00:28:39Z,10,10,10,179,50,0
530,2026-08-25T00:28:46Z,10,10,10,179,50,0
537,2026-08-25T00:28:53Z,10,10,10,172,50,0
544,2026-08-25T00:29:00Z,10,10,10,172,50,0
551,2026-08-25T00:29:07Z,10,10,10,180,50,0
558,2026-08-25T00:29:14Z,10,10,10,180,50,0
565,2026-08-25T00:29:21Z,10,10,10,177,50,0
572,2026-08-25T00:29:28Z,10,10,10,177,50,0
580,2026-08-25T00:29:36Z,10,10,10,177,50,0
587,2026-08-25T00:29:43Z,10,10,10,174,50,0
594,2026-08-25T00:29:50Z,10,10,10,174,50,0
