t_rel,timestamp_utc,replicas_desejadas,replicas_atuais,replicas_prontas,cpu_atual_pct,cpu_alvo_pct,pods_pendentes
0,2026-08-25T00:31:26Z,10,10,10,181,50,0
7,2026-08-25T00:31:33Z,10,10,10,181,50,0
14,2026-08-25T00:31:40Z,10,10,10,174,50,0
21,2026-08-25T00:31:47Z,10,10,10,174,50,0
28,2026-08-25T00:31:54Z,10,10,10,171,50,0
35,2026-08-25T00:32:01Z,10,10,10,171,50,0
42,2026-08-25T00:32:08Z,10,10,10,183,50,0
49,2026-08-25T00:32:15Z,10,10,10,183,50,0
56,2026-08-25T00:32:22Z,10,10,10,173,50,0
63,2026-08-25T00:32:29Z,10,10,10,173,50,0
70,2026-08-25T00:32:36Z,10,10,10,176,50,0
77,2026-08-25T00:32:43Z,10,10,10,176,50,0
84,2026-08-25T00:32:50Z,10,10,10,176,50,0
91,2026-08-25T00:32:57Z,10,10,10,123,50,0
99,2026-08-25T00:33:05Z,10,10,10,123,50,0
106,2026-08-25T00:33:12Z,10,10,10,2,50,0
113,2026-08-25T00:33:19Z,10,10,10,2,50,0
120,2026-08-25T00:33:26Z,10,10,10,1,50,0
127,2026-08-25T00:33:33Z,10,10,10,1,50,0
134,2026-08-25T00:33:40Z,10,10,10,1,50,0
141,2026-08-25T00:33:47Z,10,10,10,1,50,0
148,2026-08-25T00:33:54Z,10,10,10,1,50,0
155,2026-08-25T00:34:01Z,10,10,10,1,50,0
162,2026-08-25T00:34:08Z,10,10,10,1,50,0
169,2026-08-25T00:34:15Z,10,10,10,1,50,0
176,2026-08-25T00:34:22Z,10,10,10,1,50,0
183,2026-08-25T00:34:29Z,10,10,10,1,50,0
190,2026-08-25T00:34:36Z,10,10,10,1,50,0
197,2026-08-25T00:34:43Z,10,10,10,1,50,0
204,2026-08-25T00:34:50Z,10,10,10,1,50,0
211,2026-08-25T00:34:57Z,10,10,10,1,50,0
218,2026-08-25T00:35:04Z,10,10,10,1,50,0
225,2026-08-25T00:35:11Z,10,10,10,1,50,0
232,2026-08-25T00:35:18Z,10,10,10,1,50,0
239,2026-08-25T00:35:25Z,10,10,10,1,50,0
246,2026-08-25T00:35:32Z,10,10,10,1,50,0
253,2026-08-25T00:35:39Z,10,10,10,1,50,0
260,2026-08-25T00:35:46Z,10,10,10,1,50,0
267,2026-08-25T00:35:53Z,10,10,10,1,50,0
274,2026-08-25T00:36:00Z,10,10,10,1,50,0
281,2026-08-25T00:36:07Z,10,10,10,1,50,0
288,2026-08-25T00:36:14Z,10,10,10,1,50,0
296,2026-08-25T00:36:22Z,10,10,10,1,50,0
303,2026-08-25T00:36:29Z,10,10,10,1,50,0
310,2026-08-25T00:36:36Z,10,10,10,1,50,0
317,2026-08-25T00:36:43Z,10,10,10,1,50,0
324,2026-08-25T00:36:50Z,10,10,10,1,50,0
331,2026-08-25T00:36:57Z,10,10,10,1,50,0
338,2026-08-25T00:37:04Z,10,10,10,1,50,0
345,2026-08-25T00:37:11Z,10,10,10,1,50,0
352,2026-08-25T00:37:18Z,10,10,10,1,50,0
359,2026-08-25T00:37:25Z,10,10,10,1,50,0
366,2026-08-25T00:37:32Z,10,10,10,1,50,0
373,2026-08-25T00:37:39Z,10,10,10,1,50,0
380,2026-08-25T00:37:46Z,10,10,10,1,50,0
387,2026-08-25T00:37:53Z,5,10,5,1,50,0
395,2026-08-25T00:38:01Z,5,10,5,1,50,0
402,2026-08-25T00:38:08Z,5,5,5,1,50,0
409,2026-08-25T00:38:15Z,5,5,5,1,50,0
416,2026-08-25T00:38:22Z,5,5,5,1,50,0
423,2026-08-25T00:38:29Z,5,5,5,1,50,0
430,2026-08-25T00:38:36Z,5,5,5,1,50,0
437,2026-08-25T00:38:43Z,5,5,5,1,50,0
444,2026-08-25T00:38:50Z,5,5,5,1,50,0
451,2026-08-25T00:38:57Z,2,5,2,1,50,0
458,2026-08-25T00:39:04Z,2,5,2,1,50,0
465,2026-08-25T00:39:11Z,2,2,2,1,50,0
472,2026-08-25T00:39:18Z,2,2,2,1,50,0
480,2026-08-25T00:39:26Z,2,2,2,1,50,0
487,2026-08-25T00:39:33Z,2,2,2,1,50,0
494,2026-08-25T00:39:40Z,2,2,2,1,50,0
501,2026-08-25T00:39:47Z,2,2,2,1,50,0
508,2026-08-25T00:39:54Z,1,2,1,1,50,0
515,2026-08-25T00:40:01Z,1,2,1,1,50,0
522,2026-08-25T00:40:08Z,1,1,1,1,50,0
529,2026-08-25T00:40:15Z,1,1,1,1,50,0
536,2026-08-25T00:40:22Z,1,1,1,1,50,0
543,2026-08-25T00:40:29Z,1,1,1,1,50,0
550,2026-08-25T00:40:36Z,1,1,1,1,50,0
557,2026-08-25T00:40:43Z,1,1,1,1,50,0
564,2026-08-25T00:40:50Z,1,1,1,1,50,0
571,2026-08-25T00:40:57Z,1,1,1,1,50,0
579,2026-08-25T00:41:05Z,1,1,1,1,50,0
586,2026-08-25T00:41:12Z,1,1,1,1,50,0
593,2026-08-25T00:41:19Z,1,1,1,1,50,0
