t_rel,timestamp_utc,replicas_desejadas,replicas_hpa,replicas_deploy,replicas_pods,replicas_prontas,cpu_atual_pct,cpu_alvo_pct,pods_pendentes
0,2026-09-20T13:22:33Z,3,1,3,12,1,124,50,0
5,2026-09-20T13:22:38Z,3,1,3,12,3,124,50,0
10,2026-09-20T13:22:43Z,3,1,3,3,3,124,50,0
15,2026-09-20T13:22:48Z,3,3,3,3,3,124,50,0
21,2026-09-20T13:22:54Z,3,3,3,3,3,124,50,0
26,2026-09-20T13:22:59Z,3,3,3,3,3,124,50,0
31,2026-09-20T13:23:04Z,3,3,3,3,3,124,50,0
36,2026-09-20T13:23:09Z,3,3,3,3,3,124,50,0
42,2026-09-20T13:23:15Z,3,3,3,3,3,124,50,0
47,2026-09-20T13:23:20Z,3,3,3,3,3,1,50,0
52,2026-09-20T13:23:25Z,3,3,3,3,3,1,50,0
58,2026-09-20T13:23:31Z,3,3,3,3,3,1,50,0
63,2026-09-20T13:23:36Z,3,3,3,3,3,1,50,0
68,2026-09-20T13:23:41Z,3,3,3,3,3,1,50,0
73,2026-09-20T13:23:46Z,3,3,3,3,3,1,50,0
79,2026-09-20T13:23:52Z,3,3,3,3,3,1,50,0
84,2026-09-20T13:23:57Z,3,3,3,3,3,1,50,0
89,2026-09-20T13:24:02Z,3,3,3,3,3,1,50,0
94,2026-09-20T13:24:07Z,3,3,3,3,3,1,50,0
100,2026-09-20T13:24:13Z,3,3,3,3,3,1,50,0
105,2026-09-20T13:24:18Z,7,3,7,7,3,195,50,0
110,2026-09-20T13:24:23Z,7,3,7,7,7,195,50,0
116,2026-09-20T13:24:29Z,7,3,7,7,7,195,50,0
121,2026-09-20T13:24:34Z,10,7,10,10,7,195,50,0
126,2026-09-20T13:24:39Z,10,7,10,10,10,195,50,0
131,2026-09-20T13:24:44Z,10,7,10,10,10,195,50,0
137,2026-09-20T13:24:50Z,10,10,10,10,10,195,50,0
142,2026-09-20T13:24:55Z,10,10,10,10,10,195,50,0
147,2026-09-20T13:25:00Z,10,10,10,10,10,195,50,0
153,2026-09-20T13:25:06Z,10,10,10,10,10,195,50,0
158,2026-09-20T13:25:11Z,10,10,10,10,10,195,50,0
163,2026-09-20T13:25:16Z,10,10,10,10,10,235,50,0
169,2026-09-20T13:25:22Z,10,10,10,10,10,235,50,0
174,2026-09-20T13:25:27Z,10,10,10,10,10,235,50,0
179,2026-09-20T13:25:32Z,10,10,10,10,10,235,50,0
184,2026-09-20T13:25:37Z,10,10,10,10,10,235,50,0
190,2026-09-20T13:25:43Z,10,10,10,10,10,235,50,0
195,2026-09-20T13:25:48Z,10,10,10,10,10,235,50,0
200,2026-09-20T13:25:53Z,10,10,10,10,10,235,50,0
