t_rel,timestamp_utc,replicas_desejadas,replicas_hpa,replicas_deploy,replicas_pods,replicas_prontas,cpu_atual_pct,cpu_alvo_pct,pods_pendentes
0,2026-09-20T07:14:18Z,1,1,1,10,1,1,50,0
5,2026-09-20T07:14:23Z,1,1,1,10,1,1,50,0
11,2026-09-20T07:14:29Z,1,1,1,1,1,1,50,0
16,2026-09-20T07:14:34Z,1,1,1,1,1,1,50,0
21,2026-09-20T07:14:39Z,1,1,1,1,1,1,50,0
27,2026-09-20T07:14:45Z,1,1,1,1,1,1,50,0
32,2026-09-20T07:14:50Z,1,1,1,1,1,1,50,0
37,2026-09-20T07:14:55Z,1,1,1,1,1,1,50,0
42,2026-09-20T07:15:00Z,1,1,1,1,1,1,50,0
48,2026-09-20T07:15:06Z,1,1,1,1,1,1,50,0
53,2026-09-20T07:15:11Z,1,1,1,1,1,1,50,0
58,2026-09-20T07:15:16Z,1,1,1,1,1,1,50,0
63,2026-09-20T07:15:21Z,2,1,2,2,2,56,50,0
69,2026-09-20T07:15:27Z,2,1,2,2,2,56,50,0
74,2026-09-20T07:15:32Z,6,2,2,6,2,501,50,4
79,2026-09-20T07:15:37Z,6,2,6,6,2,501,50,0
84,2026-09-20T07:15:42Z,6,2,6,6,6,501,50,0
90,2026-09-20T07:15:48Z,10,6,10,10,6,489,50,4
95,2026-09-20T07:15:53Z,10,6,10,10,10,489,50,0
100,2026-09-20T07:15:58Z,10,6,10,10,10,489,50,0
106,2026-09-20T07:16:04Z,10,10,10,10,10,284,50,0
111,2026-09-20T07:16:09Z,10,10,10,10,10,284,50,0
116,2026-09-20T07:16:14Z,10,10,10,10,10,284,50,0
122,2026-09-20T07:16:20Z,10,10,10,10,10,177,50,0
127,2026-09-20T07:16:25Z,10,10,10,10,10,177,50,0
132,2026-09-20T07:16:30Z,10,10,10,10,10,177,50,0
138,2026-09-20T07:16:36Z,10,10,10,10,10,178,50,0
143,2026-09-20T07:16:41Z,10,10,10,10,10,178,50,0
148,2026-09-20T07:16:46Z,10,10,10,10,10,178,50,0
154,2026-09-20T07:16:52Z,10,10,10,10,10,178,50,0
159,2026-09-20T07:16:57Z,10,10,10,10,10,178,50,0
164,2026-09-20T07:17:02Z,10,10,10,10,10,177,50,0
170,2026-09-20T07:17:08Z,10,10,10,10,10,177,50,0
175,2026-09-20T07:17:13Z,10,10,10,10,10,177,50,0
180,2026-09-20T07:17:18Z,10,10,10,10,10,178,50,0
185,2026-09-20T07:17:23Z,10,10,10,10,10,178,50,0
191,2026-09-20T07:17:29Z,10,10,10,10,10,178,50,0
196,2026-09-20T07:17:34Z,10,10,10,10,10,178,50,0
201,2026-09-20T07:17:39Z,10,10,10,10,10,178,50,0
207,2026-09-20T07:17:45Z,10,10,10,10,10,178,50,0
212,2026-09-20T07:17:50Z,10,10,10,10,10,182,50,0
217,2026-09-20T07:17:55Z,10,10,10,10,10,182,50,0
223,2026-09-20T07:18:01Z,10,10,10,10,10,182,50,0
228,2026-09-20T07:18:06Z,10,10,10,10,10,180,50,0
233,2026-09-20T07:18:11Z,10,10,10,10,10,180,50,0
239,2026-09-20T07:18:17Z,10,10,10,10,10,180,50,0
244,2026-09-20T07:18:22Z,10,10,10,10,10,175,50,0
249,2026-09-20T07:18:27Z,10,10,10,10,10,175,50,0
255,2026-09-20T07:18:33Z,10,10,10,10,10,180,50,0
260,2026-09-20T07:18:38Z,10,10,10,10,10,180,50,0
265,2026-09-20T07:18:43Z,10,10,10,10,10,180,50,0
271,2026-09-20T07:18:49Z,10,10,10,10,10,177,50,0
276,2026-09-20T07:18:54Z,10,10,10,10,10,177,50,0
281,2026-09-20T07:18:59Z,10,10,10,10,10,177,50,0
287,2026-09-20T07:19:05Z,10,10,10,10,10,178,50,0
292,2026-09-20T07:19:10Z,10,10,10,10,10,178,50,0
297,2026-09-20T07:19:15Z,10,10,10,10,10,178,50,0
302,2026-09-20T07:19:20Z,10,10,10,10,10,161,50,0
308,2026-09-20T07:19:26Z,10,10,10,10,10,161,50,0
313,2026-09-20T07:19:31Z,10,10,10,10,10,161,50,0
318,2026-09-20T07:19:36Z,10,10,10,10,10,1,50,0
323,2026-09-20T07:19:41Z,10,10,10,10,10,1,50,0
329,2026-09-20T07:19:47Z,10,10,10,10,10,1,50,0
334,2026-09-20T07:19:52Z,10,10,10,10,10,1,50,0
339,2026-09-20T07:19:57Z,10,10,10,10,10,1,50,0
344,2026-09-20T07:20:02Z,10,10,10,10,10,1,50,0
350,2026-09-20T07:20:08Z,10,10,10,10,10,1,50,0
355,2026-09-20T07:20:13Z,10,10,10,10,10,1,50,0
360,2026-09-20T07:20:18Z,10,10,10,10,10,1,50,0
365,2026-09-20T07:20:23Z,10,10,10,10,10,1,50,0
371,2026-09-20T07:20:29Z,10,10,10,10,10,1,50,0
376,2026-09-20T07:20:34Z,10,10,10,10,10,1,50,0
381,2026-09-20T07:20:39Z,10,10,10,10,10,1,50,0
386,2026-09-20T07:20:44Z,10,10,10,10,10,1,50,0
392,2026-09-20T07:20:50Z,10,10,10,10,10,1,50,0
397,2026-09-20T07:20:55Z,10,10,10,10,10,1,50,0
402,2026-09-20T07:21:00Z,10,10,10,10,10,1,50,0
