t_rel,timestamp_utc,replicas_desejadas,replicas_hpa,replicas_deploy,replicas_pods,replicas_prontas,cpu_atual_pct,cpu_alvo_pct,pods_pendentes
0,2026-09-20T03:41:56Z,1,1,1,10,1,1,30,0
5,2026-09-20T03:42:01Z,1,1,1,1,1,1,30,0
11,2026-09-20T03:42:07Z,1,1,1,1,1,1,30,0
16,2026-09-20T03:42:12Z,1,1,1,1,1,1,30,0
21,2026-09-20T03:42:17Z,1,1,1,1,1,1,30,0
27,2026-09-20T03:42:23Z,1,1,1,1,1,1,30,0
32,2026-09-20T03:42:28Z,1,1,1,1,1,1,30,0
37,2026-09-20T03:42:33Z,1,1,1,1,1,1,30,0
42,2026-09-20T03:42:38Z,1,1,1,1,1,1,30,0
48,2026-09-20T03:42:44Z,1,1,1,1,1,1,30,0
53,2026-09-20T03:42:49Z,1,1,1,1,1,1,30,0
58,2026-09-20T03:42:54Z,1,1,1,1,1,1,30,0
63,2026-09-20T03:42:59Z,1,1,1,1,1,1,30,0
69,2026-09-20T03:43:05Z,1,1,1,1,1,1,30,0
74,2026-09-20T03:43:10Z,4,1,4,4,1,92,30,0
79,2026-09-20T03:43:15Z,4,1,4,4,4,92,30,0
84,2026-09-20T03:43:20Z,4,1,4,4,4,92,30,0
90,2026-09-20T03:43:26Z,4,4,4,4,4,92,30,0
95,2026-09-20T03:43:31Z,4,4,4,4,4,92,30,0
100,2026-09-20T03:43:36Z,4,4,4,4,4,92,30,0
106,2026-09-20T03:43:42Z,4,4,4,4,4,92,30,0
111,2026-09-20T03:43:47Z,4,4,4,4,4,92,30,0
116,2026-09-20T03:43:52Z,4,4,4,4,4,92,30,0
121,2026-09-20T03:43:57Z,4,4,4,4,4,92,30,0
127,2026-09-20T03:44:03Z,4,4,4,4,4,92,30,0
132,2026-09-20T03:44:08Z,8,4,8,8,4,413,30,4
137,2026-09-20T03:44:13Z,8,4,8,8,8,413,30,0
143,2026-09-20T03:44:19Z,8,4,8,8,8,413,30,0
148,2026-09-20T03:44:24Z,10,8,10,10,8,413,30,0
153,2026-09-20T03:44:29Z,10,8,10,10,10,413,30,0
159,2026-09-20T03:44:35Z,10,8,10,10,10,413,30,0
164,2026-09-20T03:44:40Z,10,10,10,10,10,413,30,0
169,2026-09-20T03:44:45Z,10,10,10,10,10,413,30,0
175,2026-09-20T03:44:51Z,10,10,10,10,10,413,30,0
180,2026-09-20T03:44:56Z,10,10,10,10,10,413,30,0
185,2026-09-20T03:45:01Z,10,10,10,10,10,413,30,0
191,2026-09-20T03:45:07Z,10,10,10,10,10,413,30,0
196,2026-09-20T03:45:12Z,10,10,10,10,10,250,30,0
201,2026-09-20T03:45:17Z,10,10,10,10,10,250,30,0
207,2026-09-20T03:45:23Z,10,10,10,10,10,250,30,0
212,2026-09-20T03:45:28Z,10,10,10,10,10,250,30,0
217,2026-09-20T03:45:33Z,10,10,10,10,10,250,30,0
223,2026-09-20T03:45:39Z,10,10,10,10,10,250,30,0
228,2026-09-20T03:45:44Z,10,10,10,10,10,250,30,0
233,2026-09-20T03:45:49Z,10,10,10,10,10,250,30,0
239,2026-09-20T03:45:55Z,10,10,10,10,10,250,30,0
244,2026-09-20T03:46:00Z,10,10,10,10,10,250,30,0
249,2026-09-20T03:46:05Z,10,10,10,10,10,250,30,0
254,2026-09-20T03:46:10Z,10,10,10,10,10,176,30,0
260,2026-09-20T03:46:16Z,10,10,10,10,10,176,30,0
265,2026-09-20T03:46:21Z,10,10,10,10,10,176,30,0
270,2026-09-20T03:46:26Z,10,10,10,10,10,176,30,0
276,2026-09-20T03:46:32Z,10,10,10,10,10,176,30,0
281,2026-09-20T03:46:37Z,10,10,10,10,10,176,30,0
286,2026-09-20T03:46:42Z,10,10,10,10,10,176,30,0
292,2026-09-20T03:46:48Z,10,10,10,10,10,176,30,0
297,2026-09-20T03:46:53Z,10,10,10,10,10,176,30,0
302,2026-09-20T03:46:58Z,10,10,10,10,10,176,30,0
307,2026-09-20T03:47:03Z,10,10,10,10,10,176,30,0
313,2026-09-20T03:47:09Z,10,10,10,10,10,145,30,0
318,2026-09-20T03:47:14Z,10,10,10,10,10,145,30,0
323,2026-09-20T03:47:19Z,10,10,10,10,10,145,30,0
328,2026-09-20T03:47:24Z,10,10,10,10,10,145,30,0
334,2026-09-20T03:47:30Z,10,10,10,10,10,145,30,0
339,2026-09-20T03:47:35Z,10,10,10,10,10,145,30,0
344,2026-09-20T03:47:40Z,10,10,10,10,10,145,30,0
349,2026-09-20T03:47:45Z,10,10,10,10,10,145,30,0
355,2026-09-20T03:47:51Z,10,10,10,10,10,145,30,0
360,2026-09-20T03:47:56Z,10,10,10,10,10,145,30,0
365,2026-09-20T03:48:01Z,10,10,10,10,10,145,30,0
371,2026-09-20T03:48:07Z,10,10,10,10,10,145,30,0
376,2026-09-20T03:48:12Z,10,10,10,10,10,1,30,0
381,2026-09-20T03:48:17Z,10,10,10,10,10,1,30,0
386,2026-09-20T03:48:22Z,10,10,10,10,10,1,30,0
392,2026-09-20T03:48:28Z,10,10,10,10,10,1,30,0
397,2026-09-20T03:48:33Z,10,10,10,10,10,1,30,0
402,2026-09-20T03:48:38Z,10,10,10,10,10,1,30,0
