t_rel,timestamp_utc,replicas_desejadas,replicas_atuais,replicas_prontas,cpu_atual_pct,cpu_alvo_pct,pods_pendentes
0,2026-09-19T18:32:50Z,1,1,1,1,50,0
5,2026-09-19T18:32:55Z,1,1,1,1,50,0
10,2026-09-19T18:33:00Z,1,1,1,1,50,0
15,2026-09-19T18:33:05Z,1,1,1,1,50,0
21,2026-09-19T18:33:11Z,1,1,1,1,50,0
26,2026-09-19T18:33:16Z,1,1,1,1,50,0
31,2026-09-19T18:33:21Z,1,1,1,1,50,0
36,2026-09-19T18:33:26Z,1,1,1,1,50,0
42,2026-09-19T18:33:32Z,1,1,1,1,50,0
47,2026-09-19T18:33:37Z,1,1,1,1,50,0
52,2026-09-19T18:33:42Z,1,1,1,1,50,0
57,2026-09-19T18:33:47Z,1,1,1,1,50,0
62,2026-09-19T18:33:52Z,1,1,1,1,50,0
68,2026-09-19T18:33:58Z,1,1,1,1,50,0
73,2026-09-19T18:34:03Z,3,1,3,146,50,0
78,2026-09-19T18:34:08Z,3,1,3,146,50,0
83,2026-09-19T18:34:13Z,3,1,3,146,50,0
89,2026-09-19T18:34:19Z,3,3,3,146,50,0
94,2026-09-19T18:34:24Z,3,3,3,146,50,0
99,2026-09-19T18:34:29Z,3,3,3,146,50,0
104,2026-09-19T18:34:34Z,3,3,3,146,50,0
110,2026-09-19T18:34:40Z,3,3,3,146,50,0
115,2026-09-19T18:34:45Z,3,3,3,146,50,0
120,2026-09-19T18:34:50Z,3,3,3,146,50,0
125,2026-09-19T18:34:55Z,3,3,3,146,50,0
131,2026-09-19T18:35:01Z,3,3,3,146,50,4
136,2026-09-19T18:35:06Z,7,3,7,449,50,0
141,2026-09-19T18:35:11Z,7,3,7,449,50,0
146,2026-09-19T18:35:16Z,9,7,7,449,50,2
152,2026-09-19T18:35:22Z,9,7,9,449,50,0
157,2026-09-19T18:35:27Z,9,7,9,449,50,0
162,2026-09-19T18:35:32Z,9,9,9,449,50,0
168,2026-09-19T18:35:38Z,9,9,9,449,50,0
173,2026-09-19T18:35:43Z,9,9,9,449,50,0
178,2026-09-19T18:35:48Z,9,9,9,449,50,0
183,2026-09-19T18:35:53Z,9,9,9,449,50,0
188,2026-09-19T18:35:58Z,9,9,9,449,50,0
194,2026-09-19T18:36:04Z,10,9,10,192,50,0
199,2026-09-19T18:36:09Z,10,9,10,192,50,0
204,2026-09-19T18:36:14Z,10,9,10,192,50,0
209,2026-09-19T18:36:19Z,10,10,10,192,50,0
215,2026-09-19T18:36:25Z,10,10,10,192,50,0
220,2026-09-19T18:36:30Z,10,10,10,192,50,0
225,2026-09-19T18:36:35Z,10,10,10,192,50,0
230,2026-09-19T18:36:40Z,10,10,10,192,50,0
236,2026-09-19T18:36:46Z,10,10,10,192,50,0
241,2026-09-19T18:36:51Z,10,10,10,192,50,0
246,2026-09-19T18:36:56Z,10,10,10,192,50,0
251,2026-09-19T18:37:01Z,10,10,10,1,50,0
