t_rel,timestamp_utc,replicas_desejadas,replicas_atuais,replicas_prontas,cpu_atual_pct,cpu_alvo_pct,pods_pendentes
0,2026-08-24T22:50:13Z,1,1,1,1,50,0
5,2026-08-24T22:50:18Z,1,1,1,1,50,0
10,2026-08-24T22:50:23Z,1,1,1,1,50,0
16,2026-08-24T22:50:29Z,1,1,1,1,50,0
21,2026-08-24T22:50:34Z,1,1,1,1,50,0
26,2026-08-24T22:50:39Z,1,1,1,1,50,0
31,2026-08-24T22:50:44Z,1,1,1,1,50,0
36,2026-08-24T22:50:49Z,1,1,1,1,50,0
42,2026-08-24T22:50:55Z,1,1,1,1,50,0
47,2026-08-24T22:51:00Z,1,1,1,1,50,0
52,2026-08-24T22:51:05Z,1,1,1,1,50,0
57,2026-08-24T22:51:10Z,1,1,1,1,50,0
63,2026-08-24T22:51:16Z,1,1,1,1,50,0
68,2026-08-24T22:51:21Z,5,1,1,302,50,0
73,2026-08-24T22:51:26Z,5,1,5,302,50,0
78,2026-08-24T22:51:31Z,5,1,5,302,50,0
84,2026-08-24T22:51:37Z,6,5,5,302,50,0
89,2026-08-24T22:51:42Z,6,5,6,302,50,0
94,2026-08-24T22:51:47Z,6,5,6,302,50,0
99,2026-08-24T22:51:52Z,6,6,6,302,50,0
105,2026-08-24T22:51:58Z,6,6,6,302,50,0
110,2026-08-24T22:52:03Z,6,6,6,302,50,0
115,2026-08-24T22:52:08Z,6,6,6,302,50,0
121,2026-08-24T22:52:14Z,6,6,6,302,50,0
126,2026-08-24T22:52:19Z,10,6,6,469,50,0
131,2026-08-24T22:52:24Z,10,6,10,469,50,0
137,2026-08-24T22:52:30Z,10,6,10,469,50,0
142,2026-08-24T22:52:35Z,10,10,10,469,50,0
147,2026-08-24T22:52:40Z,10,10,10,469,50,0
153,2026-08-24T22:52:46Z,10,10,10,469,50,0
158,2026-08-24T22:52:51Z,10,10,10,469,50,0
164,2026-08-24T22:52:57Z,10,10,10,469,50,0
169,2026-08-24T22:53:02Z,10,10,10,469,50,0
174,2026-08-24T22:53:07Z,10,10,10,469,50,0
180,2026-08-24T22:53:13Z,10,10,10,469,50,0
185,2026-08-24T22:53:18Z,10,10,10,393,50,0
191,2026-08-24T22:53:24Z,10,10,10,393,50,0
196,2026-08-24T22:53:29Z,10,10,10,393,50,0
201,2026-08-24T22:53:34Z,10,10,10,393,50,0
207,2026-08-24T22:53:40Z,10,10,10,393,50,0
212,2026-08-24T22:53:45Z,10,10,10,393,50,0
217,2026-08-24T22:53:50Z,10,10,10,393,50,0
223,2026-08-24T22:53:56Z,10,10,10,393,50,0
228,2026-08-24T22:54:01Z,10,10,10,393,50,0
234,2026-08-24T22:54:07Z,10,10,10,393,50,0
239,2026-08-24T22:54:12Z,10,10,10,393,50,0
244,2026-08-24T22:54:17Z,10,10,10,381,50,0
250,2026-08-24T22:54:23Z,10,10,10,381,50,0
255,2026-08-24T22:54:28Z,10,10,10,381,50,0
261,2026-08-24T22:54:34Z,10,10,10,381,50,0
266,2026-08-24T22:54:39Z,10,10,10,381,50,0
271,2026-08-24T22:54:44Z,10,10,10,381,50,0
277,2026-08-24T22:54:50Z,10,10,10,381,50,0
282,2026-08-24T22:54:55Z,10,10,10,381,50,0
288,2026-08-24T22:55:01Z,10,10,10,381,50,0
293,2026-08-24T22:55:06Z,10,10,10,381,50,0
299,2026-08-24T22:55:12Z,10,10,10,381,50,0
304,2026-08-24T22:55:17Z,10,10,10,381,50,0
309,2026-08-24T22:55:22Z,10,10,10,380,50,0
315,2026-08-24T22:55:28Z,10,10,10,380,50,0
320,2026-08-24T22:55:33Z,10,10,10,380,50,0
326,2026-08-24T22:55:39Z,10,10,10,380,50,0
331,2026-08-24T22:55:44Z,10,10,10,380,50,0
336,2026-08-24T22:55:49Z,10,10,10,380,50,0
342,2026-08-24T22:55:55Z,10,10,10,380,50,0
347,2026-08-24T22:56:00Z,10,10,10,380,50,0
353,2026-08-24T22:56:06Z,10,10,10,380,50,0
358,2026-08-24T22:56:11Z,10,10,10,380,50,0
363,2026-08-24T22:56:16Z,10,10,10,380,50,0
369,2026-08-24T22:56:22Z,10,10,10,379,50,0
374,2026-08-24T22:56:27Z,10,10,10,379,50,0
380,2026-08-24T22:56:33Z,10,10,10,379,50,0
385,2026-08-24T22:56:38Z,10,10,10,379,50,0
390,2026-08-24T22:56:43Z,10,10,10,379,50,0
396,2026-08-24T22:56:49Z,10,10,10,379,50,0
401,2026-08-24T22:56:54Z,10,10,10,379,50,0
407,2026-08-24T22:57:00Z,10,10,10,379,50,0
412,2026-08-24T22:57:05Z,10,10,10,379,50,0
417,2026-08-24T22:57:10Z,10,10,10,379,50,0
