t_rel,timestamp_utc,replicas_desejadas,replicas_atuais,replicas_prontas,cpu_atual_pct,cpu_alvo_pct,pods_pendentes
0,2026-08-24T23:01:15Z,10,10,10,379,50,0
5,2026-08-24T23:01:20Z,10,10,10,382,50,0
11,2026-08-24T23:01:26Z,10,10,10,382,50,0
16,2026-08-24T23:01:31Z,10,10,10,382,50,0
21,2026-08-24T23:01:36Z,10,10,10,382,50,0
27,2026-08-24T23:01:42Z,10,10,10,382,50,0
32,2026-08-24T23:01:47Z,10,10,10,382,50,0
38,2026-08-24T23:01:53Z,10,10,10,382,50,0
43,2026-08-24T23:01:58Z,10,10,10,382,50,0
48,2026-08-24T23:02:03Z,10,10,10,382,50,0
54,2026-08-24T23:02:09Z,10,10,10,382,50,0
59,2026-08-24T23:02:14Z,10,10,10,382,50,0
65,2026-08-24T23:02:20Z,10,10,10,379,50,0
70,2026-08-24T23:02:25Z,10,10,10,379,50,0
75,2026-08-24T23:02:30Z,10,10,10,379,50,0
81,2026-08-24T23:02:36Z,10,10,10,379,50,0
86,2026-08-24T23:02:41Z,10,10,10,379,50,0
92,2026-08-24T23:02:47Z,10,10,10,379,50,0
97,2026-08-24T23:02:52Z,10,10,10,379,50,0
102,2026-08-24T23:02:57Z,10,10,10,379,50,0
107,2026-08-24T23:03:02Z,10,10,10,379,50,0
113,2026-08-24T23:03:08Z,10,10,10,379,50,0
118,2026-08-24T23:03:13Z,10,10,10,379,50,0
123,2026-08-24T23:03:18Z,10,10,10,270,50,0
128,2026-08-24T23:03:23Z,10,10,10,270,50,0
134,2026-08-24T23:03:29Z,10,10,10,270,50,0
139,2026-08-24T23:03:34Z,10,10,10,270,50,0
144,2026-08-24T23:03:39Z,10,10,10,270,50,0
149,2026-08-24T23:03:44Z,10,10,10,270,50,0
155,2026-08-24T23:03:50Z,10,10,10,270,50,0
160,2026-08-24T23:03:55Z,10,10,10,270,50,0
165,2026-08-24T23:04:00Z,10,10,10,270,50,0
170,2026-08-24T23:04:05Z,10,10,10,270,50,0
175,2026-08-24T23:04:10Z,10,10,10,270,50,0
181,2026-08-24T23:04:16Z,10,10,10,270,50,0
186,2026-08-24T23:04:21Z,10,10,10,1,50,0
191,2026-08-24T23:04:26Z,10,10,10,1,50,0
196,2026-08-24T23:04:31Z,10,10,10,1,50,0
202,2026-08-24T23:04:37Z,10,10,10,1,50,0
207,2026-08-24T23:04:42Z,10,10,10,1,50,0
212,2026-08-24T23:04:47Z,10,10,10,1,50,0
217,2026-08-24T23:04:52Z,10,10,10,1,50,0
222,2026-08-24T23:04:57Z,10,10,10,1,50,0
228,2026-08-24T23:05:03Z,10,10,10,1,50,0
233,2026-08-24T23:05:08Z,10,10,10,1,50,0
238,2026-08-24T23:05:13Z,10,10,10,1,50,0
243,2026-08-24T23:05:18Z,10,10,10,1,50,0
249,2026-08-24T23:05:24Z,10,10,10,1,50,0
254,2026-08-24T23:05:29Z,10,10,10,1,50,0
259,2026-08-24T23:05:34Z,10,10,10,1,50,0
264,2026-08-24T23:05:39Z,10,10,10,1,50,0
270,2026-08-24T23:05:45Z,10,10,10,1,50,0
275,2026-08-24T23:05:50Z,10,10,10,1,50,0
280,2026-08-24T23:05:55Z,10,10,10,1,50,0
285,2026-08-24T23:06:00Z,10,10,10,1,50,0
290,2026-08-24T23:06:05Z,10,10,10,1,50,0
296,2026-08-24T23:06:11Z,10,10,10,1,50,0
301,2026-08-24T23:06:16Z,10,10,10,1,50,0
306,2026-08-24T23:06:21Z,10,10,10,1,50,0
311,2026-08-24T23:06:26Z,10,10,10,1,50,0
317,2026-08-24T23:06:32Z,10,10,10,1,50,0
322,2026-08-24T23:06:37Z,10,10,10,1,50,0
327,2026-08-24T23:06:42Z,10,10,10,1,50,0
332,2026-08-24T23:06:47Z,10,10,10,1,50,0
337,2026-08-24T23:06:52Z,10,10,10,1,50,0
343,2026-08-24T23:06:58Z,10,10,10,1,50,0
348,2026-08-24T23:07:03Z,10,10,10,1,50,0
353,2026-08-24T23:07:08Z,10,10,10,1,50,0
358,2026-08-24T23:07:13Z,10,10,10,1,50,0
364,2026-08-24T23:07:19Z,10,10,10,1,50,0
369,2026-08-24T23:07:24Z,10,10,10,1,50,0
374,2026-08-24T23:07:29Z,10,10,10,1,50,0
379,2026-08-24T23:07:34Z,10,10,10,1,50,0
384,2026-08-24T23:07:39Z,10,10,10,1,50,0
390,2026-08-24T23:07:45Z,10,10,10,1,50,0
395,2026-08-24T23:07:50Z,10,10,10,1,50,0
400,2026-08-24T23:07:55Z,10,10,10,1,50,0
405,2026-08-24T23:08:00Z,10,10,10,1,50,0
411,2026-08-24T23:08:06Z,10,10,10,1,50,0
416,2026-08-24T23:08:11Z,10,10,10,1,50,0
421,2026-08-24T23:08:16Z,10,10,10,1,50,0
426,2026-08-24T23:08:21Z,10,10,10,1,50,0
432,2026-08-24T23:08:27Z,10,10,10,1,50,0
437,2026-08-24T23:08:32Z,10,10,10,1,50,0
442,2026-08-24T23:08:37Z,10,10,10,1,50,0
447,2026-08-24T23:08:42Z,10,10,10,1,50,0
452,2026-08-24T23:08:47Z,10,10,10,1,50,0
458,2026-08-24T23:08:53Z,10,10,10,1,50,0
463,2026-08-24T23:08:58Z,10,10,10,1,50,0
468,2026-08-24T23:09:03Z,5,10,5,1,50,0
473,2026-08-24T23:09:08Z,5,10,5,1,50,0
479,2026-08-24T23:09:14Z,5,10,5,1,50,0
484,2026-08-24T23:09:19Z,5,5,5,1,50,0
489,2026-08-24T23:09:24Z,5,5,5,1,50,0
494,2026-08-24T23:09:29Z,5,5,5,1,50,0
499,2026-08-24T23:09:34Z,5,5,5,1,50,0
505,2026-08-24T23:09:40Z,5,5,5,1,50,0
510,2026-08-24T23:09:45Z,5,5,5,1,50,0
