t_rel,timestamp_utc,replicas_desejadas,replicas_atuais,replicas_prontas,cpu_atual_pct,cpu_alvo_pct,pods_pendentes
0,2026-09-19T21:29:41Z,1,1,1,1,50,0
5,2026-09-19T21:29:46Z,1,1,1,1,50,0
10,2026-09-19T21:29:51Z,1,1,1,1,50,0
15,2026-09-19T21:29:56Z,1,1,1,1,50,0
21,2026-09-19T21:30:02Z,1,1,1,1,50,0
26,2026-09-19T21:30:07Z,1,1,1,1,50,0
31,2026-09-19T21:30:12Z,1,1,1,1,50,0
36,2026-09-19T21:30:17Z,1,1,1,1,50,0
42,2026-09-19T21:30:23Z,1,1,1,1,50,0
47,2026-09-19T21:30:28Z,1,1,1,1,50,0
52,2026-09-19T21:30:33Z,1,1,1,1,50,0
57,2026-09-19T21:30:38Z,1,1,1,1,50,0
63,2026-09-19T21:30:44Z,1,1,0,1,50,0
68,2026-09-19T21:30:49Z,1,1,1,1,50,0
73,2026-09-19T21:30:54Z,5,1,1,218,50,4
78,2026-09-19T21:30:59Z,5,1,5,218,50,0
84,2026-09-19T21:31:05Z,5,1,5,218,50,0
89,2026-09-19T21:31:10Z,5,5,5,218,50,0
94,2026-09-19T21:31:15Z,5,5,5,218,50,0
99,2026-09-19T21:31:20Z,5,5,5,218,50,0
105,2026-09-19T21:31:26Z,5,5,5,218,50,0
110,2026-09-19T21:31:31Z,5,5,5,218,50,0
115,2026-09-19T21:31:36Z,5,5,5,218,50,0
120,2026-09-19T21:31:41Z,5,5,5,218,50,0
126,2026-09-19T21:31:47Z,5,5,5,218,50,0
131,2026-09-19T21:31:52Z,5,5,5,218,50,0
136,2026-09-19T21:31:57Z,7,5,5,323,50,0
141,2026-09-19T21:32:02Z,7,5,7,323,50,0
147,2026-09-19T21:32:08Z,7,5,7,323,50,0
152,2026-09-19T21:32:13Z,7,7,7,323,50,0
157,2026-09-19T21:32:18Z,7,7,7,323,50,0
163,2026-09-19T21:32:24Z,7,7,7,323,50,0
168,2026-09-19T21:32:29Z,7,7,7,323,50,0
173,2026-09-19T21:32:34Z,7,7,7,323,50,0
178,2026-09-19T21:32:39Z,7,7,7,323,50,0
184,2026-09-19T21:32:45Z,7,7,7,323,50,0
189,2026-09-19T21:32:50Z,7,7,7,323,50,0
194,2026-09-19T21:32:55Z,10,7,7,245,50,0
199,2026-09-19T21:33:00Z,10,7,10,245,50,0
205,2026-09-19T21:33:06Z,10,7,10,245,50,0
210,2026-09-19T21:33:11Z,10,10,10,245,50,0
215,2026-09-19T21:33:16Z,10,10,10,245,50,0
220,2026-09-19T21:33:21Z,10,10,10,245,50,0
226,2026-09-19T21:33:27Z,10,10,10,245,50,0
231,2026-09-19T21:33:32Z,10,10,10,245,50,0
236,2026-09-19T21:33:37Z,10,10,10,245,50,0
241,2026-09-19T21:33:42Z,10,10,10,245,50,0
247,2026-09-19T21:33:48Z,10,10,10,245,50,0
252,2026-09-19T21:33:53Z,10,10,10,245,50,0
257,2026-09-19T21:33:58Z,10,10,10,110,50,0
