t_rel,timestamp_utc,replicas_desejadas,replicas_hpa,replicas_deploy,replicas_pods,replicas_prontas,cpu_atual_pct,cpu_alvo_pct,pods_pendentes
0,2026-09-20T03:07:08Z,1,1,1,5,1,1,50,0
5,2026-09-20T03:07:13Z,1,1,1,5,1,1,50,0
10,2026-09-20T03:07:18Z,1,1,1,1,1,1,50,0
16,2026-09-20T03:07:24Z,1,1,1,1,1,1,50,0
21,2026-09-20T03:07:29Z,1,1,1,1,1,1,50,0
26,2026-09-20T03:07:34Z,1,1,1,1,1,1,50,0
31,2026-09-20T03:07:39Z,1,1,1,1,1,1,50,0
37,2026-09-20T03:07:45Z,1,1,1,1,1,1,50,0
42,2026-09-20T03:07:50Z,1,1,1,1,1,1,50,0
47,2026-09-20T03:07:55Z,1,1,1,1,1,1,50,0
52,2026-09-20T03:08:00Z,1,1,1,1,1,1,50,0
58,2026-09-20T03:08:06Z,1,1,1,1,1,1,50,0
63,2026-09-20T03:08:11Z,1,1,1,1,1,1,50,0
68,2026-09-20T03:08:16Z,1,1,1,1,1,1,50,0
73,2026-09-20T03:08:21Z,1,1,1,1,1,1,50,0
79,2026-09-20T03:08:27Z,1,1,1,1,0,1,50,0
84,2026-09-20T03:08:32Z,1,1,1,1,1,1,50,0
89,2026-09-20T03:08:37Z,1,1,1,1,1,1,50,0
95,2026-09-20T03:08:43Z,1,1,1,1,1,1,50,0
100,2026-09-20T03:08:48Z,1,1,1,1,1,1,50,0
105,2026-09-20T03:08:53Z,1,1,1,1,1,1,50,0
110,2026-09-20T03:08:58Z,1,1,1,1,1,1,50,0
116,2026-09-20T03:09:04Z,1,1,1,1,1,1,50,0
121,2026-09-20T03:09:09Z,5,1,5,5,1,493,50,0
126,2026-09-20T03:09:14Z,5,1,5,5,5,493,50,0
132,2026-09-20T03:09:20Z,5,1,5,5,5,493,50,0
137,2026-09-20T03:09:25Z,10,5,10,10,5,493,50,0
142,2026-09-20T03:09:30Z,10,5,10,10,10,493,50,0
147,2026-09-20T03:09:35Z,10,5,10,10,10,493,50,0
153,2026-09-20T03:09:41Z,10,10,10,10,10,493,50,0
158,2026-09-20T03:09:46Z,10,10,10,10,10,493,50,0
163,2026-09-20T03:09:51Z,10,10,10,10,10,493,50,0
169,2026-09-20T03:09:57Z,10,10,10,10,10,493,50,0
174,2026-09-20T03:10:02Z,10,10,10,10,10,493,50,0
179,2026-09-20T03:10:07Z,10,10,10,10,10,326,50,0
184,2026-09-20T03:10:12Z,10,10,10,10,10,326,50,0
190,2026-09-20T03:10:18Z,10,10,10,10,10,326,50,0
195,2026-09-20T03:10:23Z,10,10,10,10,10,326,50,0
200,2026-09-20T03:10:28Z,10,10,10,10,10,326,50,0
205,2026-09-20T03:10:33Z,10,10,10,10,10,326,50,0
211,2026-09-20T03:10:39Z,10,10,10,10,10,326,50,0
216,2026-09-20T03:10:44Z,10,10,10,10,10,326,50,0
221,2026-09-20T03:10:49Z,10,10,10,10,10,326,50,0
226,2026-09-20T03:10:54Z,10,10,10,10,10,326,50,0
232,2026-09-20T03:11:00Z,10,10,10,10,10,326,50,0
237,2026-09-20T03:11:05Z,10,10,10,10,10,326,50,0
242,2026-09-20T03:11:10Z,10,10,10,10,10,4,50,0
247,2026-09-20T03:11:15Z,10,10,10,10,10,4,50,0
253,2026-09-20T03:11:21Z,10,10,10,10,10,4,50,0
